,,
PLU ventas PAS.DULCE,Z 86,378.400
Benef icio:,,378.400
RECORTES,2,6.000
Benef ICIO:,,6.000
PALITO,67,294.800
Benef icio:,,294.800
POR.ZA.B,3,12.000
Beneficio:,,12.000
ALM PAND,6,21.000
Benef icio:,,21.000
ALFAJOR,1,3.200
Benef icio:,,3.200
MILO.JUGO,25,107.500
Benef icio:,,107.500
GATORADE,1,4.700
Benef icio:,,4.700
GASE 250,15,43.500
Beneficio:,,43.500
TINTO,27,59.400
Benef icio:,,59.400
PERICO,5,17.500
Benef icio:,,17.500
CAFE. LEC,21,84.000
Benef icio:,,84.000
MR TEA,23,85.100
Benef icio:,,85.100
BOT AGUA,1,3.500
Benef icio:,,3.500
TUTTI BOT,35,105.000
Benef icio:,,105.000
PAN.MANT,2,24.000
Benef icio:,,24.000
LECHE,5,14.000
Benef icio:,,14.000
TUTTI.CAJA,5,15.000
Benef icio:,,15.000
CAPUCCINO,2,8.600
Benef icio:,,8.600
CHOCOLATE,2,8.600
Benef icio:,,8.600
CAFE. VAI,5,21.500
Benef icio:,,21.500
H20,5,20.000
Benef icio:,,20.000
PAST.SAL,71,333.700
Benef icio:,,333.700
PAS.CA.P,85,459.000
Beneficio:,,459.000
