REFERENCIA,DESCRIPCIÓN,UNIDAD,CANTIDAD,PRECIO BASE UNITARIO,PRECIO TOTAL UNITARIO,VALOR DESCUENTO,%IVA,VLR.IVA,VLR. IC Y/O OTROS,VLR.TOTAL
31844,1.- |AGUA CRISTAL PLANA PET 300ML X24 S.PRECI,PZA,24.00,500.00,"10,800.00","1,200.00",,,,"10,800.00"
23150,2.- |UVA POSTOBON 250 ML PET X 12,PZA,12.00,"1,050.42","11,344.54","1,260.50",19.00,"2,155.46",0.00,"13,500.00"
23156,3.- |COLOMBIANA NACIONAL 250 ML PET X 12,PZA,12.00,"1,050.42","11,344.54","1,260.50",19.00,"2,155.46",0.00,"13,500.00"
23157,4.- NARANJA POSTOBON 250 ML PET X 12,PZA,12.00,"1,050.42","11,344.54","1,260.50",19.00,"2,155.46",0.00,"13,500.00"
23235,5.- |MANGO HIT 200 ML TETRA X 24,PZA,12.00,980.39,"11,764.68",,19.00,"2,235.29",0.00,"13,999.97"
23236,6.- NARANJA PIÑA HIT 200 ML TETRA X 24,PZA,12.00,980.39,"11,764.68",,19.00,"2,235.29",0.00,"13,999.97"
23156,7.- |COLOMBIANA NACIONAL 250 ML PET X 12,PZA,12.00,"1,050.42","12,605.04",,19.00,"2,394.96",0.00,"15,000.00"
23541,8.- MARACUYA H2OH! 600 ML PET X 15,PZA,7.00,"1,820.73","12,745.11",,19.00,"2,421.57",,"15,166.68"
23542,9.- ITORONCHELLO H2OH! 600 ML PET X15,PZA,7.00,"1,820.73","12,745.11",,19.00,"2,421.57",,"15,166.68"
23545,10.- |LIMONATA H2OH! 600 ML PET X 15,PZA,8.00,"1,820.73","14,565.84",,19.00,"2,767.51",,"17,333.35"
34153,11.- |MANZANA H2OH 600 ML PET X 15,PZA,8.00,"1,820.73","14,565.84",,19.00,"2,767.51",,"17,333.35"
23652,12.- |GUAYABA TUTTI FRUTTI 250 ML VIDRIO R X30,PZA,15.00,"1,050.42","14,891.28",865.02,19.00,"2,829.34",0.00,"17,720.62"
23653,13.- |LULO TUTTI FRUTTI 250 ML VIDRIO R X30,PZA,15.00,"1,050.42","15,756.30",,19.00,"2,993.70",0.00,"18,750.00"
23214,14.- ICOLOMBIANA NACIONAL 400 ML PET X 15,PZA,15.00,"1,750.70","21,008.40","5,252.10",19.00,"3,991.60",0.00,"25,000.00"
23215,15.- |UVA POSTOBON 400 ML PET X 15,PZA,15.00,"1,750.70","21,008.40","5,252.10",19.00,"3,991.60",0.00,"25,000.00"
23216,16.- |MANZANA POSTOBON 400 ML PET X 15,PZA,15.00,"1,750.70","21,008.40","5,252.10",19.00,"3,991.60",0.00,"25,000.00"
23929,17.- |NARANJA POSTOBON 400 ML PET X 15,PZA,15.00,"1,750.70","21,008.40","5,252.10",19.00,"3,991.60",0.00,"25,000.00"
31947,18.- |PEPSI S.I 400 ML PET X 15,PZA,15.00,"1,750.70","21,008.40","5,252.10",19.00,"3,991.60",,"25,000.00"
23543,19.- |AGUA CRISTAL 600 ML PET X 24,PZA,24.00,"1,154.17","22,160.06","5,540.02",,,,"22,160.06"
23377,20.- IDURAZNO MR TEA 300 ML VIDRIO NR X 24,PZA,24.00,"1,400.56","26,890.75","6,722.69",19.00,"5,109.24",0.00,"31,999.99"
23622,21.- |LIMON MR TEA 300 ML VIDRIO NR X 24,PZA,24.00,"1,400.56","26,890.75","6,722.69",19.00,"5,109.24",0.00,"31,999.99"
23664,22.- |MANGO TUTTI FRUTTI 250 ML VIDRIO R X 30,PZA,30.00,"1,050.42","31,512.60",,19.00,"5,987.39",0.00,"37,499.99"
23665,23.- |MORA TUTTI FRUTTI 250 ML VIDRIO R X 30,PZA,30.00,"1,050.42","31,512.60",,19.00,"5,987.39",0.00,"37,499.99"
23155,24.- MANZANA POSTOBON 250 ML PET X 12,PZA,36.00,"1,050.42","34,033.61","3,781.51",19.00,"6,466.39",0.00,"40,500.00"
29402,25.- |PEPSI CERO 250 ML PET X 12,PZA,12.00,700.28,"7,563.02",840.34,19.00,"1,436.97",,"8,999.99"
23651,26.- |AVENA TUTTI FRUTTI 250 ML VIDRIO R X 30,PZA,90.00,"1,050.42","75,630.24","18,907.56",19.00,"14,369.74",0.00,"89,999.98"
33131,27.- ITORONJA POSTOBON PET 250 ML X 12,PZA,12.00,840.34,"9,075.67","1,008.41",19.00,"1,724.38",,"10,800.05"
,Total Nro Líneas: 27 Total Peso: 229.178 Total Unidades: 513.000 Total Cajas: 0.000,,,,,,,,,
